phase,condition,seed,status,final_accuracy,run_health,max_test_loss,halted_rounds,updates_used,malicious_updates_used,minority_decisions,last_10_accuracy,worst_client_accuracy,backdoor_asr,virtual_time,wall_seconds,benign_false_reject_rate,benign_defer_rate,minority_false_reject_rate,minority_defer_rate,mean_staleness,server_p95_ms,deadline_miss_rate,last_logged_round,last_logged_accuracy,last_logged_loss,failure_reason,record
2,baseline_joint_timing,2,complete,0.3289,ok,18.180395919799803,0,259,56,0,0.36885,0.0,,106,248.20313520007767,0.0,0.0,,,1.1544401544401544,69.71324000041932,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S2_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_45421625dc.json
2,triage_joint_timing,0,complete,0.1251,ok,17.624116424560548,0,266,64,0,0.24745,0.0,,101,250.36790489999112,0.0,0.06511627906976744,,,1.112781954887218,76.55171499354765,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_ef217a7ce4.json
2,triage_joint_timing,1,complete,0.4705,ok,55.97865814208984,0,258,58,0,0.5004,0.0033222591362126247,,102,247.2994602000108,0.0,0.03864734299516908,,,1.197674418604651,70.2433149155695,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S1_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_52ca12dfc9.json
2,triage_joint_timing,2,complete,0.235,ok,48.9953918762207,0,256,54,0,0.16494,0.0,,106,246.4907694000285,0.0,0.06912442396313365,,,1.1640625,79.321680002613,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S2_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_022a00faa2.json
3,baseline_reserved_root,0,complete,0.1135,ok,76.75824661865235,0,226,40,20,0.09972,0.0,,103,237.24007780000102,0.0,0.0,0.0,0.0,1.3584070796460177,64.51669000089169,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_55c6dd90ec.json
3,baseline_reserved_root,1,failed,,stopped_divergence,4993773.2696,,,,,,,,,152.27153769996949,,,,,,,,62,0.1135,4993773.2488,aggregate would diverge: non-finite or weight magnitude exceeds 1000,
3,baseline_reserved_root,2,complete,0.3015,ok,68.63309649658203,0,225,32,25,0.24368,0.0,,110,236.98007509997115,0.0,0.0,0.0,0.0,1.3688888888888888,64.8719550750684,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S2_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_16ef12b62b.json
3,root_only_n20_noise0.0,0,failed,,stopped_divergence,7563.9492,,,,,,,,,183.8727598999394,,,,,,,,75,0.101,7380.2618,aggregate would diverge: non-finite or weight magnitude exceeds 1000,
3,root_only_n20_noise0.0,1,failed,,stopped_divergence,3651.358,,,,,,,,,107.55738740006927,,,,,,,,42,0.098,3651.358,aggregate would diverge: non-finite or weight magnitude exceeds 1000,
3,root_only_n20_noise0.0,2,complete,0.1028,high_loss,38460.81309375,0,224,32,25,0.10088,0.0,,110,235.27932049997617,0.0,0.0,0.0,0.0,1.3616071428571428,69.84668502700515,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S2_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_6b91e505c6.json
3,root_only_n20_noise0.2,0,complete,0.5329,ok,25.156575485229492,0,226,40,20,0.57004,0.013377926421404682,,103,234.36829790007323,0.0,0.0,0.0,0.0,1.3584070796460177,63.04735502926633,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_59664c3f5b.json
3,root_only_n20_noise0.2,1,complete,0.5801,ok,39.8473828125,0,225,36,20,0.62553,0.2181208053691275,,103,236.02212560002226,0.0,0.0,0.0,0.0,1.3866666666666667,70.36717496812344,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S1_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_b07549c1e0.json
3,root_only_n20_noise0.2,2,complete,0.1028,high_loss,1968.24433359375,0,223,33,25,0.10024,0.0,,111,236.07124219997786,0.0,0.0,0.0,0.0,1.345291479820628,69.43508497788571,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S2_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_d50cdb2410.json
3,root_only_n100_noise0.0,0,complete,0.1472,high_loss,190.79496174316407,0,226,40,20,0.28867,0.0,,103,236.05430800002068,0.0,0.0,0.0,0.0,1.3584070796460177,68.85801507742144,,,,,,E:\Federated Machine Learning\FL-Byzantine-Library\mnist_dir20\record\research_algorithm_Mcnn_R100_B64.0_E1_LR1.00e-01_P3.00e-01_S0_LD-1_9.9800e-01_WD0.0000e+00_SIMSimulator_LGResearchLogger_RESEARCH_50cfdf08c6.json
